id,telegram_id,request_type,success,error_message,created_at
12,522067038,PROFILE,true,,18.04.2026 14:13
11,522067038,TRANSLATE,true,,18.04.2026 14:13
10,522067038,TRANSLATE,true,,18.04.2026 14:13
9,522067038,TRANSLATE,true,,18.04.2026 14:12
8,522067038,TRANSLATE,true,,18.04.2026 14:10
7,522067038,TRANSLATE,true,,18.04.2026 14:07
6,522067038,TRANSLATE,true,,18.04.2026 14:04
5,522067038,TRANSLATE,true,,18.04.2026 14:04
4,522067038,TRANSLATE,true,,18.04.2026 14:02
3,522067038,HELP,true,,18.04.2026 14:02
2,522067038,TRANSLATE,true,,18.04.2026 13:43
1,522067038,HELP,true,,18.04.2026 13:43
